No.,location
1,52427
2,56697
3,46658
4,5527
5,5390
6,5682
7,6504
8,5549
9,4872
10,6015
11,11943
12,16057
13,16083
14,17007
15,16782
16,17121
17,17108
18,17085
19,6241
20,7178
21,6019
22,6576
23,8582
24,4474
25,5563
26,5833
27,4288
28,3209
29,4490
30,4266
31,5883
32,4755
33,6146
34,3703
35,5848
36,5239
37,17244
38,22026
39,16382
40,17399
41,17412
42,12287
43,19389
44,18781
45,23360
46,22976
47,24034
48,5988
49,5370
50,5226
51,9322
52,4720
53,4028
54,5915
55,20926
56,11157
57,16004
58,12248
59,54342
60,57039
61,35727
62,22833
63,22924
64,43825
65,8823
66,8010
67,6251
68,6509
69,8513
70,52654
71,52671
72,52818
73,69401
74,12698
75,13694
76,130957
77,134342
78,110341
79,116222
80,131416
81,116226
82,128564
83,116229
84,35741
85,35871
86,67976
87,42338
88,49656
89,114323
90,124666
91,123500
92,119387
93,52418
94,5527
95,7195
96,17106
97,6022
98,4259
99,3523
100,17214
101,17399
102,19309
103,4721
104,37053
105,54342
106,31858
107,8822
108,116231
109,52068
110,56871
111,46612
112,5528
113,5390
114,5684
115,6519
116,5549
117,4851
118,6054
119,12047
120,16057
121,16032
122,17010
123,16863
124,16949
125,16947
126,17071
127,6229
128,7238
129,5948
130,6526
131,8716
132,4526
133,5607
134,5808
135,4195
136,3258
137,4575
138,4187
139,5862
140,4749
141,6209
142,3632
143,5834
144,6598
145,17244
146,14873
147,16392
148,17457
149,17382
150,12255
151,14913
152,18502
153,23360
154,23385
155,24059
156,5988
157,5331
158,6068
159,9311
160,4721
161,4022
162,5917
163,20927
164,11191
165,16003
166,12249
167,35821
168,35821
169,60298
170,33152
171,31447
172,38725
173,6902
174,7987
175,7048
176,6533
177,8505
178,52844
179,52623
180,52824
181,72468
182,12654
183,13661
184,130961
185,116230
186,110258
187,116229
188,116229
189,116229
190,128580
191,116229
192,35817
193,35782
194,68020
195,51630
196,43185
197,114230
198,124395
199,91802
200,83452
201,17000
202,35005
203,30524
204,14976
205,14763
206,25423
207,26958
208,27989
209,27258
210,92129
211,56892
212,14213
213,127308
214,40952
215,106565
216,263747
217,150719
218,211405
219,275594
220,250904
221,163576
222,91634
223,132837
224,92907
225,143147
226,123157
227,29193
228,36158
229,38662
230,39270
231,47736
232,57657
233,36470
234,80473
235,97085
236,62918
237,90098
238,72635
239,190037
240,240030
241,250000
242,148413
243,132917
244,140555
245,139173
246,195811
247,55458
248,4196
249,5715
250,9942
